question-id;video-id;question;hint1;hint2;answer;answer-comm
107;29;Броненосец — одно из древнейших млекопитающих, живших ещё при динозаврах. На сколько месяцев самки броненосцев в стрессовых ситуациях могут отложить роды или задержать беременность?;Продолжительность беременности броненосцев составляет всего 4 месяца.;В католической традиции именно в этот день отмечают Сочельник.;24;
108;30;Сколько лет прошло между выходом 5-й и 6-й частей GTA?;Столько цифр содержит ИНН — индивидуальный номер налогоплательщика.;В теле человека есть кишка именно с таким числовым названием.;12;
109;30;Сколько сантиметров в талии (окружности живота) у мужчины — это уже абдоминальное ожирение?;Культовый фильм Квентина Тарантино «Криминальное чтиво» вышел на экраны в году, соответствующем правильному ответу.;Римскими цифрами это число записывается так: XCIV.;94;Измерение живота производится в положении стоя, при нормальном дыхании, строго на уровне пупка. Если окружность живота составляет 94 см, это указывает на абдоминальное ожирение.
110;30;Сколько шайб забила сборная Южной Кореи в крупнейшей победе в истории международного хоккея — матче против Таиланда?;В России календарные весна и лето длятся столько дней.;Второй по популярности вид топлива в России.;92;Шайба оказывалась в воротах сборной Таиланда в среднем каждые 39 секунд.
111;30;Сколько царей из династии Романовых носили имя Пётр?;Популярная актриса Фрэнсис Макдорманд имеет в своём активе такое количество ««Оскаров»».;Именно столько всадников на картине Васнецова «Богатыри».;3;
112;30;В одноимённой сказке Алладин находит лампу в пещёре и выпускает из неё Джинна. Джинн был счастлив выбраться, так как провёл в лампе 10 тысяч лет. А сколько всего тысяч лет Джинну?;С 2028 года именно с такого возраста мужчины будут выходить на пенсию в России.;Столько лет прошло с полёта Гагарина в космос по состоянию на 2026 год.;65;Согласно Disney Wiki, Джинну 65 тысяч лет.
113;30;В России на 2026 год существует большой спрос на омоложение пениса. Запись на процедуры расписана на месяцы вперёд. Мужчины старше 35 лет делают инъекции гиалуроновой кислоты, эффект сохраняется до 18 месяцев. Сколько в среднем тысяч рублей стоит одна такая процедура?;В дореволюционной России алфавит состоял именно из стольких букв.;Если температура вашего тела составляет столько градусов, значит, у вас совершенно точно гипотермия.;35;
114;30;В физике радуга — это непрерывный спектр. Количество называемых цветов в каждой стране различно и зависит от культуры и языка. Сколько цветов в радуге выделяют японцы?;Это число ассоциируется с популярным интернет-мемом, который стал формой абсурдного ответа или вирусной фразой.;Если это число произносить без мягкого знака, то получится название спортивного снаряда или орудия труда стриптизёрши.;6;Жители Китая выделяют 5 цветов радуги, жители США — 6 цветов, а в некоторых странах Африки и Океании радугу разделяют на светлые, тёмные и красные оттенки. Японцы выделяют 6 цветов, так как синий и зелёный у них традиционно объединяются.
115;30;Сколько клавиш на стандартной полноразмерной клавиатуре?;Правильный ответ соответствует телефонному номеру газовой службы в РФ.;-;104;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
